Date,fed_rate
2015-01-02,
2015-01-09,
2015-01-16,
2015-01-23,
2015-01-30,
2015-02-06,
2015-02-13,
2015-02-20,
2015-02-27,
2015-03-06,
2015-03-13,
2015-03-20,
2015-03-27,
2015-04-03,
2015-04-10,
2015-04-17,
2015-04-24,
2015-05-01,0.12
2015-05-08,0.12
2015-05-15,0.12
2015-05-22,0.12
2015-05-29,0.12
2015-06-05,0.12
2015-06-12,0.12
2015-06-19,0.12
2015-06-26,0.12
2015-07-03,0.12
2015-07-10,0.12
2015-07-17,0.12
2015-07-24,0.12
2015-07-31,0.12
2015-08-07,0.12
2015-08-14,0.12
2015-08-21,0.12
2015-08-28,0.12
2015-09-04,0.12
2015-09-11,0.12
2015-09-18,0.12
2015-09-25,0.12
2015-10-02,0.12
2015-10-09,0.12
2015-10-16,0.12
2015-10-23,0.12
2015-10-30,0.12
2015-11-06,0.12
2015-11-13,0.12
2015-11-20,0.12
2015-11-27,0.12
2015-12-04,0.12
2015-12-11,0.12
2015-12-18,0.12
2015-12-25,0.12
2016-01-01,0.34
2016-01-08,0.34
2016-01-15,0.34
2016-01-22,0.34
2016-01-29,0.34
2016-02-05,0.34
2016-02-12,0.34
2016-02-19,0.34
2016-02-26,0.34
2016-03-04,0.34
2016-03-11,0.34
2016-03-18,0.34
2016-03-25,0.34
2016-04-01,0.37
2016-04-08,0.37
2016-04-15,0.37
2016-04-22,0.37
2016-04-29,0.37
2016-05-06,0.37
2016-05-13,0.37
2016-05-20,0.37
2016-05-27,0.37
2016-06-03,0.37
2016-06-10,0.37
2016-06-17,0.37
2016-06-24,0.37
2016-07-01,0.39
2016-07-08,0.39
2016-07-15,0.39
2016-07-22,0.39
2016-07-29,0.39
2016-08-05,0.39
2016-08-12,0.39
2016-08-19,0.39
2016-08-26,0.39
2016-09-02,0.39
2016-09-09,0.39
2016-09-16,0.39
2016-09-23,0.39
2016-09-30,0.39
2016-10-07,0.39
2016-10-14,0.39
2016-10-21,0.39
2016-10-28,0.39
2016-11-04,0.39
2016-11-11,0.39
2016-11-18,0.39
2016-11-25,0.39
2016-12-02,0.39
2016-12-09,0.39
2016-12-16,0.39
2016-12-23,0.39
2016-12-30,0.39
2017-01-06,0.39
2017-01-13,0.39
2017-01-20,0.39
2017-01-27,0.39
2017-02-03,0.39
2017-02-10,0.39
2017-02-17,0.39
2017-02-24,0.39
2017-03-03,0.39
2017-03-10,0.39
2017-03-17,0.39
2017-03-24,0.39
2017-03-31,0.39
2017-04-07,0.39
2017-04-14,0.39
2017-04-21,0.39
2017-04-28,0.39
2017-05-05,0.39
2017-05-12,0.39
2017-05-19,0.39
2017-05-26,0.39
2017-06-02,0.39
2017-06-09,0.39
2017-06-16,0.39
2017-06-23,0.39
2017-06-30,0.39
2017-07-07,0.39
2017-07-14,0.39
2017-07-21,0.39
2017-07-28,0.39
2017-08-04,0.39
2017-08-11,0.39
2017-08-18,0.39
2017-08-25,0.39
2017-09-01,1.15
2017-09-08,1.15
2017-09-15,1.15
2017-09-22,1.15
2017-09-29,1.15
2017-10-06,1.15
2017-10-13,1.15
2017-10-20,1.15
2017-10-27,1.15
2017-11-03,1.15
2017-11-10,1.15
2017-11-17,1.15
2017-11-24,1.15
2017-12-01,1.3
2017-12-08,1.3
2017-12-15,1.3
2017-12-22,1.3
2017-12-29,1.3
