Date,Portfolio Value,Total Invested,Cumulative Return
2024-04-26,33933.39715269337,30000,0.13111323842311223
2024-05-03,34081.53177851457,30000,0.13605105928381891
2024-05-10,34670.17298441958,30000,0.155672432813986
2024-05-17,35237.311677779944,30000,0.17457705592599815
2024-05-24,34931.420631657296,30000,0.1643806877219099
2024-05-31,36246.841669882735,31500,0.15069338634548365
2024-06-07,36459.81374366679,31500,0.15745440456085047
2024-06-14,37072.14433528246,31500,0.17689347096134786
2024-06-21,37246.8901225684,31500,0.18244095627201276
2024-06-28,38602.12532266121,33000,0.16976137341397604
2024-07-05,39310.65145573235,33000,0.1912318622949198
2024-07-12,39776.99838196943,33000,0.20536358733240703
2024-07-19,39271.681539671314,33000,0.19005095574761557
2024-07-26,40560.220971434275,34500,0.17565857888215292
2024-08-02,40334.015881420215,34500,0.16910190960638305
2024-08-09,40268.817717763624,34500,0.16721210776126447
2024-08-16,41612.9783341727,34500,0.20617328504848412
2024-08-23,42034.74125030267,34500,0.21839829711022238
2024-08-30,43473.681566129126,36000,0.20760226572580906
2024-09-06,42449.585593283366,36000,0.17915515536898238
2024-09-13,43855.371804620525,36000,0.21820477235057015
2024-09-20,44347.901367917584,36000,0.23188614910882177
2024-09-27,46132.321990263634,37500,0.2301952530736969
2024-10-04,46002.36145146473,37500,0.22672963870572604
2024-10-11,46216.79956039096,37500,0.23244798827709223
2024-10-18,46657.71509573054,37500,0.2442057358861478
2024-10-25,47850.67764680825,39000,0.2269404524822629
2024-11-01,47420.6356196546,39000,0.21591373383729734
2024-11-08,48736.47028146859,39000,0.2496530841402202
2024-11-15,47338.74550829994,39000,0.21381398739230606
2024-11-22,48522.41671854983,39000,0.24416453124486742
2024-11-29,50274.64201030241,40500,0.2413491854395656
2024-12-06,50436.39582228038,40500,0.2453431067229723
2024-12-13,50219.656454485186,40500,0.23999151739469596
2024-12-20,49251.55832904974,40500,0.21608785997653673
2024-12-27,50871.96825973443,42000,0.2112373395174864
2025-01-03,50834.12896187778,42000,0.21033640385423288
2025-01-10,50258.57007471379,42000,0.19663262082651878
2025-01-17,51446.829642483484,42000,0.22492451529722582
2025-01-24,52152.169693642616,42000,0.2417183260391099
2025-01-31,53462.72500216007,43500,0.229028160969197
2025-02-07,53699.697384374944,43500,0.2344758019396539
2025-02-14,54447.96217461711,43500,0.2516772913705083
2025-02-21,54398.79282991466,43500,0.25054696160723355
2025-02-28,55265.90195593437,45000,0.22813115457631938
2025-03-07,54688.10947206696,45000,0.21529132160148792
2025-03-14,54196.884164329036,45000,0.20437520365175635
2025-03-21,54496.96274154906,45000,0.21104361647886802
2025-03-28,55810.97065652964,46500,0.20023592809741153
2025-04-04,52783.87581587557,46500,0.1351371143199048
2025-04-11,54511.199899431034,46500,0.1722838688049685
2025-04-18,54673.84722300693,46500,0.17578166070982648
2025-04-25,57513.83985764188,48000,0.19820499703420577
2025-05-02,59399.861102579314,49500,0.1999971939915013
