Date,Portfolio Value,Total Invested,Cumulative Return
2023-07-14,53985.18066985554,48000,0.12469126395532348
2023-07-21,54254.78567195173,48000,0.13030803483232756
2023-07-28,54543.34271084574,48000,0.13631963980928608
2023-08-04,53322.140793229235,48000,0.11087793319227557
2023-08-11,52906.42994767421,48000,0.10221729057654572
2023-08-18,51981.72444230992,48000,0.08295259254812293
2023-08-25,52477.20148133759,48000,0.09327503086119937
2023-09-01,53572.108740890966,48000,0.1160855987685614
2023-09-08,53000.73349588664,48000,0.10418194783097134
2023-09-15,52841.02462343377,48000,0.10085467965486972
2023-09-22,51687.7940253896,48000,0.07682904219561637
2023-09-29,50880.11997460824,48000,0.06000249947100467
2023-10-06,50535.708357434385,48000,0.05282725744654937
2023-10-13,51518.91093815975,48000,0.07331064454499447
2023-10-20,50632.08616236328,48000,0.05483512838256788
2023-10-27,49987.646322324246,48000,0.04140929838175467
2023-11-03,51916.47313468587,48000,0.08159319030595524
2023-11-10,52037.907088639535,48000,0.08412306434665662
2023-11-17,53093.840125805626,48000,0.1061216692876168
2023-11-24,53548.48943431371,48000,0.11559352988153515
2023-12-01,54352.750391530295,48000,0.13234896649021377
2023-12-08,54124.14372919813,48000,0.12758632769162692
2023-12-15,55345.821053513486,48000,0.15303793861486348
2023-12-22,55834.05063600316,48000,0.16320938825006515
2023-12-29,56047.710039612175,48000,0.16766062582525287
2024-01-05,55248.336832942776,48000,0.15100701735297362
2024-01-12,55928.881891606245,48000,0.1651850394084624
2024-01-19,56179.123724744815,48000,0.17039841093218255
2024-01-26,56390.70864836205,48000,0.17480643017420827
2024-02-02,57013.47838843424,48000,0.1877807997590455
2024-02-09,57222.4330281602,48000,0.19213402142000313
2024-02-16,56846.71834252383,48000,0.18430663213591214
2024-02-23,57605.19141302677,48000,0.20010815443805652
2024-03-01,58387.43443842982,48000,0.2164048841339532
2024-03-08,58781.00042088257,48000,0.2246041754350523
2024-03-15,58376.723743085444,48000,0.2161817446476122
2024-03-22,59408.43993890586,48000,0.23767583206053744
2024-03-29,59938.11279376065,48000,0.24871068320334566
2024-04-05,59825.09295198895,48000,0.2463561031664352
2024-04-12,59257.783787763066,48000,0.2345371622450627
2024-04-19,58192.26620263462,48000,0.21233887922155348
2024-04-26,58866.35865426436,48000,0.22638247196383965
2024-05-03,59097.05082614564,48000,0.23118855887803313
2024-05-10,60136.77417184426,48000,0.25284946191342117
2024-05-17,61144.62780813942,48000,0.2738464126695703
2024-05-24,60619.82369473419,48000,0.26291299364029475
2024-05-31,60289.33361386684,48000,0.2560277836222249
2024-06-07,60653.847123856045,48000,0.26362181508033333
2024-06-14,61698.8418678817,48000,0.28539253891420135
2024-06-21,61978.73359327631,48000,0.2912236165265889
2024-06-28,61769.037070886574,48000,0.2868549389768027
2024-07-05,62953.70231179352,48000,0.3115354648290307
2024-07-12,63663.73842308747,48000,0.3263278838143213
2024-07-19,62794.67914227776,48000,0.30822248213078574
2024-07-26,62406.78180355249,48000,0.30014128757400926
2024-08-02,61973.325024549165,48000,0.29111093801144006
2024-08-09,61882.77901491705,48000,0.289224562810771
2024-08-16,64025.90894708106,48000,0.33387310306418794
2024-08-23,64672.10052217725,48000,0.3473354275453584
2024-08-30,64581.84220073118,48000,0.34545504584856523
2024-09-06,62923.47403483176,48000,0.31090570905899395
2024-09-13,65103.77707896176,48000,0.35632868914503546
2024-09-20,65872.43495634111,48000,0.3723423949237721
2024-09-27,66324.09053533207,48000,0.38175188615275046
2024-10-04,66191.45386837574,48000,0.3789886222578269
2024-10-11,66555.56476839502,48000,0.38657426600822875
2024-10-18,67202.15262746684,48000,0.4000448464055584
2024-10-25,66806.30510620636,48000,0.391798023045965
2024-11-01,66191.73488098805,48000,0.37899447668725017
2024-11-08,68063.1811925269,48000,0.41798294151097615
2024-11-15,66078.38573595202,48000,0.37663303616566624
2024-11-22,67774.77214466737,48000,0.41197441968056925
2024-11-29,68087.31181786073,48000,0.41848566287209765
2024-12-06,68363.47038749738,48000,0.42423896640619474
2024-12-13,68134.98236758397,48000,0.4194787993246656
2024-12-20,66826.41505904577,48000,0.3922169803967863
2024-12-27,67024.16109460812,48000,0.39633668947100187
2025-01-03,66957.14347885421,48000,0.39494048914279545
2025-01-10,66218.62354921918,48000,0.37955465727539894
2025-01-17,67781.3720814531,48000,0.4121119183636057
2025-01-24,68753.4454632325,48000,0.432363447150677
2025-01-31,68475.80700916341,48000,0.4265793126909043
2025-02-07,68776.13395246008,48000,0.4328361240095848
2025-02-14,69784.57063796111,48000,0.4538452216241897
2025-02-21,69652.91373857365,48000,0.4511023695536178
2025-02-28,68717.33307317682,48000,0.431611105691184
2025-03-07,67949.12675700302,48000,0.41560680743756295
2025-03-14,67315.60876215393,48000,0.4024085158782069
2025-03-21,67696.27653926813,48000,0.41033909456808604
2025-03-28,67441.48276662696,48000,0.4050308909713949
2025-04-04,63563.823562706966,48000,0.32424632422306177
2025-04-11,65984.22113481615,48000,0.37467127364200303
2025-04-18,66123.98574896647,48000,0.37758303643680136
2025-04-25,67826.87110683433,48000,0.41305981472571496
2025-05-02,68271.81246774048,48000,0.42232942641126003
