Date,Portfolio Value,Total Invested,Cumulative Return
2024-11-15,45045.12511159836,36000.0,0.2512534753221767
2024-11-22,46401.337330769646,36000.0,0.2889260369658235
2024-11-29,46439.60239585967,36000.0,0.2899889554405464
2024-12-06,46829.165397556106,36000.0,0.300810149932114
2024-12-13,46909.63655948048,36000.0,0.3030454599855689
2024-12-20,46049.66322329022,36000.0,0.27915731175806163
2024-12-27,46253.54472977215,36000.0,0.2848206869381152
2025-01-03,46188.88258705649,36000.0,0.2830245163071247
2025-01-10,45809.67533986782,36000.0,0.27249098166299496
2025-01-17,46809.62409689395,36000.0,0.300267336024832
2025-01-24,47617.13856271265,36000.0,0.3226982934086848
2025-01-31,56402.93048223981,45000.0,0.2533984551608847
2025-02-07,56816.22307759152,45000.0,0.2625827350575894
2025-02-14,57728.57421811731,45000.0,0.28285720484705135
2025-02-21,57633.95201401596,45000.0,0.2807544892003546
2025-02-28,56447.82357642489,45000.0,0.25439607947610865
2025-03-07,55989.21716781118,45000.0,0.2442048259513595
2025-03-14,55764.35231609128,45000.0,0.2392078292464729
2025-03-21,56135.59460022318,45000.0,0.24745765778273732
2025-03-28,56062.76911525495,45000.0,0.24583931367233228
2025-04-04,52981.58541472007,45000.0,0.17736856477155719
2025-04-11,55747.74474683701,45000.0,0.23883877215193353
2025-04-18,56002.33622135919,45000.0,0.24449636047464868
2025-04-25,57336.296050461606,45000.0,0.27413991223248013
2025-05-02,57675.39462360437,45000.0,0.2816754360800971
