Date,GLD,QQQ,SCHD,SPY,TLTW,fed_rate
2018-08-03,114.91999816894533,172.1580047607422,15.15434741973877,254.6259613037109,,1.82
2018-08-10,114.69000244140624,172.57867431640625,15.081097602844238,254.23095703125,,1.82
2018-08-17,112.12999725341795,171.94766235351562,15.341873168945312,255.936767578125,,1.82
2018-08-24,114.16000366210938,174.4524688720703,15.40047550201416,258.1365051269531,,1.82
2018-08-31,113.51000213623048,178.43898010253906,15.444421768188477,260.6504211425781,,1.82
2018-09-07,113.2300033569336,173.14271545410156,15.51767635345459,258.2173156738281,,1.82
2018-09-14,113.0199966430664,175.89602661132812,15.664179801940918,261.1622314453125,,1.82
2018-09-21,113.48999786376952,175.6283416748047,15.866354942321776,263.3454895019531,,1.82
2018-09-28,112.76000213623048,177.93641662597656,15.529397010803224,262.2001342773437,,1.82
2018-10-05,113.8000030517578,172.53485107421875,15.43856430053711,259.5846862792969,,1.82
2018-10-12,115.2300033569336,166.9512939453125,14.796878814697266,248.8790283203125,,1.82
2018-10-19,116.01000213623048,165.70628356933594,14.814456939697266,249.149658203125,,1.82
2018-10-26,116.7699966430664,159.6150665283203,14.348577499389648,239.3008728027344,,1.82
2018-11-02,116.6500015258789,162.22012329101562,14.73534870147705,245.2173767089844,,1.82
2018-11-09,114.4800033569336,164.26966857910156,15.095747947692873,250.5115203857422,,1.82
2018-11-16,115.62000274658205,160.41961669921875,14.95217227935791,246.87689208984372,,1.82
2018-11-23,115.7699966430664,152.47999572753906,14.477500915527344,237.42495727539065,,1.82
2018-11-30,115.54000091552734,162.21054077148438,15.104537963867188,248.6084442138672,,1.82
2018-12-07,118.08999633789062,154.55824279785156,14.427687644958496,237.7135467529297,,1.82
2018-12-14,117.05999755859376,154.27099609375,14.319472312927246,234.91766357421875,,1.82
2018-12-21,118.72000122070312,141.33206176757812,13.444997787475586,218.3548126220703,,1.82
2018-12-28,121.05999755859376,146.92295837402344,13.761106491088867,224.75033569335935,,1.82
2019-01-04,121.44000244140624,150.05406188964844,13.979724884033203,228.9596099853516,,1.82
2019-01-11,121.8000030517578,154.3377227783203,14.29879093170166,234.9377899169922,,1.82
2019-01-18,121.0199966430664,158.71754455566406,14.546952247619627,241.723388671875,,1.82
2019-01-25,122.86000061035156,158.62142944335938,14.50559139251709,241.10659790039065,,1.82
2019-02-01,124.5,160.8304901123047,14.750797271728516,244.98922729492188,,2.4
2019-02-08,124.20999908447266,161.89666748046875,14.824654579162598,245.36114501953125,,2.4
2019-02-15,124.8000030517578,165.14303588867188,15.279614448547363,251.62057495117188,,2.4
2019-02-22,125.5,166.0554962158203,15.388928413391112,253.2263336181641,,2.4
2019-03-01,121.87999725341795,167.4961700439453,15.374154090881348,254.3874969482422,,2.41
2019-03-08,122.83999633789062,164.4034881591797,15.072815895080566,248.98074340820312,,2.41
2019-03-15,122.97000122070312,171.29965209960938,15.44210147857666,256.31890869140625,,2.41
2019-03-22,123.97000122070312,171.81344604492188,15.350098609924316,254.44189453125,,2.41
2019-03-29,122.01000213623048,172.8719024658203,15.54936981201172,257.3848876953125,,2.41
2019-04-05,121.9800033569336,177.6829376220703,15.852744102478027,262.9340515136719,,2.41
2019-04-12,121.83000183105467,178.80880737304688,15.941969871520996,264.3826599121094,,2.41
2019-04-19,120.37000274658205,180.309814453125,16.12339973449707,264.2550354003906,,2.41
2019-04-26,121.37000274658205,183.4466552734375,15.983609199523926,267.343994140625,,2.41
2019-05-03,120.6500015258789,183.8892974853516,16.057973861694336,267.908935546875,,2.41
2019-05-10,121.43000030517578,178.01010131835938,15.665366172790527,262.5057067871094,,2.41
2019-05-17,120.6500015258789,176.12420654296875,15.47799015045166,260.4465026855469,,2.41
2019-05-24,121.3000030517578,171.42855834960938,15.287636756896973,257.65826416015625,,2.41
2019-05-31,123.33000183105467,167.377685546875,14.82960319519043,250.81549072265625,,2.41
2019-06-07,126.58999633789062,174.1997528076172,15.582085609436035,262.0956420898437,,2.41
2019-06-14,126.55999755859376,175.73928833007812,15.680237770080566,263.5626525878906,,2.41
2019-06-21,131.97999572753906,181.4452362060547,15.95386791229248,269.1844787597656,,2.41
2019-06-28,133.1999969482422,180.08164978027344,15.78433895111084,268.2687683105469,,2.41
2019-07-05,132.13999938964844,184.23797607421875,15.986586570739746,273.2680053710937,,2.41
2019-07-12,133.52999877929688,186.62957763671875,16.081762313842773,275.2731628417969,,2.41
2019-07-19,134.47000122070312,184.1993865966797,15.986586570739746,272.0868530273437,,2.41
2019-07-26,133.63999938964844,188.3268280029297,16.37026023864746,276.51837158203125,,2.41
2019-08-02,135.88999938964844,180.669921875,15.733774185180664,267.9209289550781,,2.41
2019-08-09,141.25999450683594,179.840576171875,15.55531883239746,267.0052795410156,,2.41
2019-08-16,142.77999877929688,178.86663818359375,15.507730484008787,264.4691772460937,,2.41
2019-08-23,144.1699981689453,175.57818603515625,15.379837036132812,260.80670166015625,,2.41
2019-08-30,143.75,180.78565979003903,15.837870597839355,267.76519775390625,,2.41
2019-09-06,141.9199981689453,184.7587432861328,16.200733184814453,272.8925476074219,,2.41
2019-09-13,140.14999389648438,185.6748504638672,16.551692962646484,275.676025390625,,2.41
2019-09-20,142.9499969482422,183.9969482421875,16.3197021484375,274.3643493652344,,2.41
2019-09-27,141.05999755859375,180.7250518798828,16.358182907104492,271.7152099609375,,2.41
2019-10-04,141.89999389648438,182.4450225830078,16.244144439697266,270.7494812011719,,2.41
2019-10-11,140.02999877929688,184.66749572753903,16.34617805480957,272.52471923828125,,2.41
2019-10-18,140.4600067138672,185.2279357910156,16.427202224731445,274.0792236328125,,2.41
2019-10-25,141.86000061035156,189.0448303222656,16.655275344848633,277.4181213378906,,2.41
2019-11-01,142.55999755859375,192.1658935546875,16.83232879638672,281.5942077636719,,1.55
2019-11-08,137.38999938964844,194.44635009765625,17.090412139892578,284.1696472167969,,1.55
2019-11-15,138.2100067138672,196.06976318359372,17.108417510986328,286.7911682128906,,1.55
2019-11-22,137.74000549316406,195.02615356445312,16.988380432128906,286.02764892578125,,1.55
2019-11-29,137.86000061035156,198.18588256835935,17.132427215576172,289.109130859375,,1.55
2019-12-06,137.6199951171875,198.0892639160156,17.207448959350586,289.62420654296875,,1.55
2019-12-13,139.0500030517578,200.2053985595703,17.21945571899414,291.8777770996094,,1.55
2019-12-20,139.52000427246094,204.5730743408203,17.42351531982422,296.4647521972656,,1.55
2019-12-27,142.3300018310547,206.8565673828125,17.450525283813477,298.4335632324219,,1.55
2020-01-03,145.86000061035156,207.40850830078125,17.300479888916016,298.0177307128906,,1.55
2020-01-10,146.91000366210938,211.52413940429688,17.402511596679688,301.0680236816406,,1.55
2020-01-17,146.5800018310547,216.3175811767578,17.75062370300293,306.8359375,,1.55
2020-01-24,147.97999572753906,215.65911865234372,17.657594680786133,303.89654541015625,,1.55
2020-01-31,149.3300018310547,212.1438751220703,17.075408935546875,297.3891906738281,,1.55
2020-02-07,147.7899932861328,221.95361328125,17.5495548248291,307.0670471191406,,1.55
2020-02-14,149.0,227.2216339111328,17.660593032836914,312.0584411621094,,1.55
2020-02-21,154.6999969482422,222.9898223876953,17.465530395507812,308.250244140625,,1.55
2020-02-28,148.3800048828125,199.29342651367188,15.478903770446776,273.8461303710937,,1.55
2020-03-06,157.5500030517578,201.4432373046875,15.670966148376465,274.955322265625,,1.55
2020-03-13,143.27999877929688,186.25901794433597,14.21850299835205,248.94427490234372,,1.55
2020-03-20,140.11000061035156,165.30316162109375,12.165853500366213,212.7334899902344,,1.55
2020-03-27,152.25,179.82394409179688,13.327221870422363,235.6246337890625,,1.55
2020-04-03,152.64999389648438,177.95101928710938,13.294212341308594,230.76190185546875,,1.55
2020-04-10,158.69000244140625,194.92416381835935,14.62063217163086,258.6645812988281,,1.55
2020-04-17,158.57000732421875,208.9276885986328,14.974740982055664,266.5119323730469,,1.55
2020-04-24,162.63999938964844,207.52056884765625,14.857704162597656,263.0996398925781,,1.55
2020-05-01,159.77999877929688,206.4530792236328,14.800687789916992,262.9322814941406,,0.05
